2023-10-24 16:20:23,019 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:20:23,023 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2023-10-24 16:20:23,024 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:20:23,024 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\src\test\resources
2023-10-24 16:22:17,892 [Worker-45] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-10-24 16:22:18,274 [Worker-45] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.examen:examen_CL2:0.0.1-SNAPSHOT @ C:\Users\DAVID\Desktop\CL2_maven-Anastacio Huertas\examen_CL2\pom.xml.
2023-10-24 16:22:19,314 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/main/java
2023-10-24 16:22:19,315 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /examen_CL2/src/main/resources
2023-10-24 16:22:19,315 [Worker-45] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /examen_CL2/src/test/java
2023-10-24 16:22:20,126 [Worker-45] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for examen_CL2
2023-10-24 16:22:20,131 [Worker-45] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2023-10-24 16:22:21,328 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-10-24 16:22:21,330 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
